Tag_ID,TagMonth,TagYear,RecapMo1,RecapYr1,RecapMo2,RecapYr2
HC00518,3,1968,,,,
HC00521,3,1968,,,,
HC00522,3,1968,,,,
HC00523,3,1968,,,,
HC00519,3,1968,,,,
HC00520,3,1968,,,,
HC00510,3,1968,,,,
HC00516,3,1968,,,,
HC00515,3,1968,,,,
HC00514,3,1968,,,,
HC00513,3,1968,,,,
HC00512,3,1968,,,,
HC00511,3,1968,,,,
HC00571,4,1968,7,1968,,
HC00543,4,1968,6,1968,,
HC00546,4,1968,6,1968,,
HC00541,4,1968,6,1968,,
HC00548,4,1968,5,1968,,
HC00554,4,1968,5,1968,,
HC00560,4,1968,6,1968,,
HC00536,4,1968,5,1968,,
HC00569,4,1968,6,1968,,
HC00552,4,1968,7,1968,,
HC00572,4,1968,8,1968,,
HC00562,4,1968,6,1968,,
HC00526,4,1968,9,1968,,
HC00563,4,1968,,,,
HC00550,4,1968,,,,
HC00551,4,1968,,,,
HC00555,4,1968,,,,
HC00556,4,1968,,,,
HC00557,4,1968,,,,
HC00558,4,1968,,,,
HC00549,4,1968,,,,
HC00561,4,1968,,,,
HC00565,4,1968,,,,
HC00564,4,1968,,,,
HC00528,4,1968,,,,
HC00566,4,1968,,,,
HC00553,4,1968,,,,
HC00568,4,1968,,,,
HC00570,4,1968,,,,
HC00573,4,1968,,,,
HC00574,4,1968,,,,
HC00559,4,1968,,,,
HC00534,4,1968,,,,
HC00567,4,1968,,,,
HC00535,4,1968,,,,
HC00529,4,1968,,,,
HC00530,4,1968,,,,
HC00531,4,1968,,,,
HC00533,4,1968,,,,
HC00527,4,1968,,,,
HC00537,4,1968,,,,
HC00538,4,1968,,,,
HC00539,4,1968,,,,
HC00545,4,1968,,,,
HC00540,4,1968,,,,
HC00542,4,1968,,,,
HC00525,4,1968,,,,
HC00544,4,1968,,,,
HC00524,4,1968,,,,
HC00532,4,1968,,,,
HC00547,4,1968,,,,
HC00721,6,1968,5,1969,,
HC00913,6,1968,6,1969,,
HC00641,6,1968,7,1968,,
HC00798,6,1968,8,1968,,
HC00643,6,1968,7,1968,,
HC00801,6,1968,7,1968,,
HC00809,6,1968,7,1968,,
HC00655,6,1968,7,1968,,
HC00807,6,1968,7,1968,,
HC00763,6,1968,7,1968,,
HC00729,6,1968,9,1968,,
HC00632,6,1968,6,1968,,
HC00718,6,1968,7,1968,,
HC00789,6,1968,8,1968,,
HC00872,6,1968,8,1968,,
HC00851,6,1968,8,1968,,
HC00836,6,1968,7,1968,,
HC00785,6,1968,7,1968,,
HC00817,6,1968,7,1968,,
HC00771,6,1968,8,1968,,
HC00833,6,1968,8,1968,,
HC00737,6,1968,7,1968,,
HC00820,6,1968,7,1968,,
HC00691,6,1968,6,1968,,
HC00682,6,1968,6,1968,,
HC00838,6,1968,7,1968,,
HC00696,6,1968,8,1968,,
HC00847,6,1968,7,1968,,
HC00698,6,1968,8,1968,,
